,id_x,player_fifa_api_id_x,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,id_y,player_name,player_fifa_api_id_y,height,weight,age
357,358,187939,120919,2016-05-12 00:00:00,75.0,75.0,right,high,medium,70.0,77.0,63.0,75.0,77.0,78.0,69.0,63.0,68.0,78.0,79.0,77.0,81.0,74.0,77.0,78.0,58.0,74.0,62.0,74.0,39.0,40.0,78.0,70.0,85.0,26.0,27.0,24.0,7.0,10.0,8.0,15.0,10.0,19,Aatif Chahechouhe,187939,175,150,30
373,374,156626,46447,2010-08-30 00:00:00,64.0,71.0,right,,_0,41.0,33.0,74.0,57.0,24.0,30.0,35.0,40.0,45.0,44.0,60.0,61.0,59.0,58.0,73.0,48.0,75.0,64.0,71.0,39.0,71.0,58.0,28.0,61.0,39.0,62.0,61.0,57.0,15.0,14.0,13.0,10.0,12.0,20,Abasse Ba,156626,187,185,34
378,379,192274,167027,2016-06-23 00:00:00,74.0,75.0,right,medium,medium,74.0,64.0,61.0,76.0,63.0,76.0,76.0,78.0,75.0,78.0,73.0,76.0,80.0,75.0,72.0,71.0,68.0,63.0,68.0,70.0,70.0,36.0,71.0,74.0,71.0,35.0,42.0,33.0,11.0,7.0,6.0,16.0,7.0,21,Abdelaziz Barrada,192274,177,161,27
392,393,202425,245653,2011-02-22 00:00:00,64.0,69.0,left,,_0,47.0,29.0,65.0,57.0,36.0,47.0,27.0,45.0,55.0,52.0,62.0,67.0,65.0,64.0,59.0,57.0,64.0,65.0,65.0,37.0,67.0,59.0,23.0,52.0,42.0,64.0,65.0,62.0,11.0,5.0,15.0,10.0,10.0,22,Abdelfettah Boukhriss,202425,185,161,25
394,395,188145,128456,2016-03-17 00:00:00,73.0,75.0,left,medium,medium,65.0,17.0,66.0,64.0,24.0,51.0,23.0,23.0,56.0,63.0,68.0,66.0,50.0,68.0,59.0,59.0,73.0,64.0,74.0,38.0,85.0,72.0,48.0,52.0,32.0,75.0,76.0,77.0,9.0,11.0,10.0,8.0,9.0,23,Abdelhamid El Kaoutari,188145,180,161,26
415,416,178063,42664,2016-02-04 00:00:00,67.0,67.0,right,medium,medium,65.0,61.0,65.0,68.0,70.0,70.0,64.0,63.0,53.0,71.0,71.0,77.0,67.0,69.0,61.0,69.0,64.0,61.0,79.0,69.0,61.0,25.0,67.0,50.0,68.0,29.0,32.0,31.0,10.0,6.0,11.0,6.0,7.0,24,Abdelkader Ghezzal,178063,182,172,32
441,442,212934,425950,2014-07-18 00:00:00,59.0,69.0,right,medium,medium,49.0,56.0,47.0,56.0,64.0,73.0,52.0,48.0,53.0,64.0,71.0,70.0,73.0,67.0,63.0,57.0,66.0,47.0,43.0,53.0,36.0,28.0,52.0,46.0,58.0,36.0,32.0,30.0,7.0,14.0,14.0,13.0,14.0,25,Abdellah Zoubir,212934,180,161,23
446,447,52782,38423,2010-02-22 00:00:00,68.0,70.0,right,,_0,60.0,50.0,60.0,74.0,,74.0,,53.0,62.0,73.0,74.0,70.0,,63.0,,64.0,,71.0,64.0,55.0,63.0,69.0,70.0,,47.0,52.0,50.0,,7.0,20.0,62.0,20.0,20.0,26,Abdelmajid Oulmers,52782,172,143,32
451,452,51868,3264,2010-08-30 00:00:00,62.0,73.0,right,,_0,49.0,64.0,65.0,54.0,58.0,58.0,46.0,44.0,27.0,64.0,69.0,54.0,66.0,58.0,62.0,63.0,74.0,58.0,61.0,59.0,52.0,30.0,74.0,66.0,41.0,30.0,34.0,36.0,13.0,7.0,7.0,9.0,13.0,27,Abdelmalek Cherrad,51868,185,165,29
456,457,209399,467485,2016-02-04 00:00:00,63.0,72.0,left,medium,medium,42.0,52.0,39.0,64.0,40.0,72.0,67.0,45.0,56.0,67.0,75.0,78.0,82.0,62.0,72.0,48.0,65.0,62.0,53.0,52.0,40.0,23.0,46.0,64.0,46.0,32.0,33.0,40.0,8.0,13.0,8.0,15.0,8.0,28,Abdelmalek El Hasnaoui,209399,180,159,22
459,460,210504,306735,2014-03-21 00:00:00,56.0,62.0,right,high,medium,54.0,37.0,48.0,62.0,31.0,56.0,35.0,39.0,56.0,58.0,69.0,62.0,56.0,55.0,59.0,56.0,71.0,71.0,71.0,50.0,51.0,48.0,56.0,55.0,45.0,56.0,61.0,53.0,10.0,7.0,8.0,11.0,10.0,29,Abdelouahed Chakhsi,210504,182,170,28
465,466,149241,41659,2015-09-25 00:00:00,63.0,63.0,right,medium,medium,57.0,53.0,58.0,69.0,57.0,59.0,69.0,68.0,66.0,64.0,65.0,67.0,71.0,67.0,70.0,67.0,57.0,62.0,57.0,61.0,58.0,47.0,63.0,67.0,57.0,47.0,39.0,37.0,8.0,15.0,16.0,9.0,11.0,30,Abderrazak Jadid,149241,177,157,32
478,479,33022,31684,2009-08-30 00:00:00,73.0,76.0,right,,_0,56.0,34.0,70.0,70.0,,56.0,,26.0,71.0,60.0,69.0,68.0,,70.0,,72.0,,81.0,79.0,58.0,73.0,73.0,70.0,,68.0,76.0,75.0,,5.0,23.0,71.0,23.0,23.0,31,Abdeslam Ouaddou,33022,190,181,31
484,485,177295,32637,2010-02-22 00:00:00,61.0,65.0,right,,_0,42.0,60.0,54.0,52.0,,51.0,,42.0,35.0,60.0,74.0,77.0,,52.0,,71.0,,61.0,71.0,59.0,30.0,52.0,57.0,,66.0,22.0,27.0,,7.0,20.0,35.0,20.0,20.0,32,Abdessalam Benjelloun,177295,187,179,25
490,491,225711,563215,2016-04-28 00:00:00,66.0,77.0,left,medium,medium,42.0,30.0,61.0,59.0,37.0,47.0,41.0,32.0,67.0,50.0,67.0,69.0,46.0,59.0,64.0,42.0,76.0,72.0,68.0,24.0,72.0,57.0,30.0,33.0,41.0,67.0,73.0,70.0,12.0,7.0,7.0,7.0,8.0,33,Abdou Diallo,225711,182,159,20
500,501,187048,41093,2016-04-21 00:00:00,70.0,70.0,right,medium,medium,62.0,63.0,60.0,77.0,62.0,75.0,66.0,49.0,74.0,75.0,73.0,69.0,76.0,68.0,69.0,66.0,51.0,61.0,63.0,61.0,56.0,64.0,57.0,72.0,48.0,63.0,64.0,61.0,8.0,14.0,15.0,11.0,9.0,34,Abdou Traore,187048,180,174,28
525,526,225050,564712,2016-03-10 00:00:00,64.0,70.0,right,medium,medium,35.0,30.0,56.0,57.0,32.0,36.0,27.0,30.0,33.0,52.0,54.0,49.0,47.0,56.0,25.0,41.0,33.0,52.0,95.0,27.0,49.0,59.0,28.0,31.0,47.0,65.0,71.0,66.0,9.0,11.0,13.0,12.0,15.0,35,Abdoul Ba,225050,200,212,22
532,533,188232,67334,2016-01-21 00:00:00,72.0,73.0,left,medium,medium,67.0,70.0,50.0,71.0,46.0,74.0,55.0,53.0,59.0,73.0,84.0,88.0,74.0,62.0,62.0,71.0,71.0,77.0,67.0,53.0,64.0,44.0,68.0,64.0,53.0,42.0,47.0,43.0,12.0,15.0,14.0,11.0,6.0,36,Abdoul Karim Yoda,188232,182,161,28
554,555,193953,173955,2016-04-21 00:00:00,72.0,73.0,left,medium,medium,69.0,72.0,64.0,69.0,63.0,76.0,69.0,49.0,64.0,73.0,85.0,84.0,78.0,65.0,74.0,76.0,71.0,72.0,70.0,70.0,68.0,26.0,71.0,74.0,52.0,20.0,29.0,27.0,11.0,16.0,13.0,12.0,16.0,37,Abdoul Razzagui Camara,193953,177,157,26
578,579,161999,39562,2016-04-21 00:00:00,75.0,75.0,right,high,medium,75.0,50.0,66.0,78.0,65.0,71.0,68.0,57.0,74.0,74.0,79.0,79.0,79.0,76.0,72.0,71.0,76.0,69.0,75.0,64.0,73.0,77.0,68.0,57.0,50.0,70.0,75.0,74.0,12.0,15.0,10.0,11.0,14.0,38,Abdoulay Konko,161999,182,157,32
609,610,204826,191784,2016-06-09 00:00:00,73.0,77.0,right,low,medium,35.0,22.0,81.0,58.0,30.0,35.0,36.0,59.0,42.0,53.0,40.0,53.0,34.0,63.0,31.0,58.0,73.0,64.0,83.0,50.0,81.0,70.0,25.0,40.0,68.0,74.0,76.0,71.0,11.0,12.0,12.0,15.0,15.0,39,Abdoulaye Ba,204826,198,174,25
640,641,199313,210400,2016-04-28 00:00:00,69.0,71.0,right,medium,medium,67.0,28.0,61.0,64.0,49.0,52.0,58.0,49.0,60.0,63.0,80.0,77.0,81.0,67.0,62.0,50.0,74.0,80.0,71.0,53.0,63.0,67.0,22.0,57.0,38.0,65.0,68.0,68.0,14.0,13.0,8.0,7.0,8.0,40,Abdoulaye Bamba,199313,182,150,26
655,656,202330,201915,2016-04-21 00:00:00,73.0,76.0,left,high,medium,67.0,80.0,66.0,69.0,69.0,68.0,53.0,49.0,63.0,61.0,90.0,91.0,87.0,73.0,81.0,70.0,79.0,78.0,58.0,63.0,51.0,43.0,78.0,66.0,63.0,43.0,44.0,46.0,12.0,14.0,8.0,7.0,9.0,41,Abdoulaye Diaby,202330,172,154,25
675,676,204171,194479,2016-03-24 00:00:00,73.0,75.0,right,None,5,64.0,69.0,68.0,75.0,69.0,76.0,64.0,72.0,67.0,75.0,74.0,76.0,74.0,73.0,60.0,73.0,71.0,71.0,74.0,72.0,54.0,49.0,66.0,71.0,68.0,44.0,36.0,24.0,8.0,14.0,14.0,8.0,13.0,42,"Abdoulaye Diallo Sadio,22",204171,182,168,26
695,696,197233,189181,2016-04-21 00:00:00,69.0,74.0,right,medium,medium,12.0,11.0,13.0,34.0,14.0,15.0,15.0,14.0,25.0,17.0,42.0,40.0,57.0,71.0,52.0,19.0,66.0,31.0,75.0,12.0,18.0,24.0,11.0,24.0,20.0,19.0,20.0,12.0,70.0,63.0,63.0,70.0,75.0,43,Abdoulaye Diallo,197233,187,174,24
714,715,208135,352887,2016-03-03 00:00:00,73.0,79.0,right,high,medium,68.0,70.0,66.0,75.0,67.0,75.0,41.0,42.0,74.0,75.0,65.0,67.0,60.0,68.0,64.0,75.0,71.0,83.0,75.0,74.0,75.0,71.0,58.0,77.0,45.0,69.0,71.0,65.0,15.0,12.0,12.0,15.0,14.0,44,Abdoulaye Doucoure,208135,182,165,23
732,733,100329,40005,2014-03-07 00:00:00,67.0,67.0,right,low,medium,29.0,45.0,72.0,51.0,34.0,40.0,29.0,29.0,55.0,46.0,26.0,33.0,31.0,63.0,47.0,55.0,62.0,52.0,84.0,31.0,75.0,65.0,31.0,42.0,33.0,67.0,69.0,64.0,10.0,14.0,10.0,14.0,7.0,45,Abdoulaye Faye,100329,187,218,36
747,748,212280,409003,2016-02-25 00:00:00,60.0,68.0,right,medium,medium,45.0,34.0,54.0,65.0,43.0,54.0,39.0,40.0,62.0,63.0,57.0,64.0,59.0,58.0,74.0,61.0,59.0,58.0,60.0,55.0,60.0,65.0,57.0,59.0,54.0,47.0,64.0,59.0,14.0,7.0,13.0,11.0,9.0,46,Abdoulaye Keita,212280,175,165,22
754,755,41745,37280,2015-02-20 00:00:00,65.0,65.0,right,medium,medium,36.0,26.0,72.0,51.0,30.0,31.0,31.0,28.0,47.0,49.0,47.0,34.0,35.0,56.0,45.0,45.0,67.0,58.0,79.0,38.0,76.0,62.0,48.0,42.0,52.0,64.0,63.0,61.0,6.0,15.0,7.0,14.0,12.0,47,Abdoulaye Meite,41745,185,181,35
765,766,210450,439366,2016-05-05 00:00:00,64.0,74.0,right,low,high,46.0,34.0,66.0,68.0,39.0,57.0,41.0,49.0,67.0,58.0,65.0,55.0,46.0,69.0,41.0,57.0,59.0,68.0,81.0,61.0,67.0,62.0,35.0,60.0,39.0,57.0,62.0,58.0,8.0,15.0,9.0,9.0,7.0,48,Abdoulaye Toure,210450,187,170,22
772,773,189568,148827,2016-03-31 00:00:00,69.0,71.0,left,high,medium,70.0,53.0,61.0,71.0,58.0,54.0,54.0,47.0,67.0,73.0,67.0,69.0,71.0,73.0,62.0,72.0,68.0,72.0,74.0,52.0,74.0,67.0,66.0,64.0,52.0,58.0,70.0,65.0,14.0,10.0,10.0,7.0,8.0,49,Abdoulwahid Sissoko,189568,182,165,26
793,794,197901,173011,2013-11-22 00:00:00,63.0,73.0,right,medium,medium,67.0,52.0,52.0,66.0,41.0,59.0,59.0,62.0,58.0,62.0,73.0,81.0,66.0,64.0,60.0,73.0,70.0,65.0,69.0,68.0,59.0,56.0,55.0,53.0,56.0,36.0,46.0,36.0,11.0,11.0,5.0,5.0,13.0,50,Abdourahman Dampha,197901,182,168,22
802,803,190193,419681,2016-05-05 00:00:00,67.0,68.0,right,medium,high,46.0,36.0,48.0,66.0,50.0,63.0,73.0,31.0,63.0,64.0,60.0,63.0,60.0,67.0,50.0,63.0,73.0,75.0,86.0,66.0,69.0,66.0,60.0,65.0,44.0,68.0,68.0,62.0,11.0,11.0,8.0,15.0,15.0,51,Abdul Aziz Tetteh,190193,182,190,27
815,816,198420,196947,2015-09-21 00:00:00,72.0,76.0,right,medium,low,56.0,71.0,63.0,67.0,65.0,74.0,49.0,51.0,56.0,75.0,93.0,92.0,79.0,64.0,83.0,74.0,90.0,73.0,65.0,64.0,56.0,36.0,70.0,71.0,65.0,37.0,33.0,34.0,3.0,3.0,3.0,3.0,3.0,52,Abdul Majeed Waris,198420,172,157,24
835,836,184768,89405,2016-05-12 00:00:00,66.0,66.0,right,medium,high,48.0,34.0,62.0,64.0,30.0,55.0,43.0,33.0,56.0,63.0,66.0,70.0,57.0,65.0,72.0,33.0,71.0,83.0,75.0,25.0,76.0,67.0,46.0,47.0,39.0,65.0,68.0,61.0,8.0,9.0,6.0,12.0,16.0,53,Abdul Osman,184768,182,154,29
857,858,209620,324910,2016-03-17 00:00:00,77.0,84.0,left,high,medium,80.0,48.0,67.0,73.0,41.0,76.0,67.0,23.0,67.0,77.0,85.0,86.0,78.0,74.0,74.0,59.0,74.0,79.0,71.0,47.0,73.0,72.0,56.0,55.0,42.0,73.0,79.0,78.0,12.0,11.0,6.0,11.0,10.0,54,Abdul Rahman Baba,209620,177,154,22
884,885,180316,67952,2014-07-25 00:00:00,64.0,65.0,left,medium,medium,50.0,46.0,47.0,62.0,53.0,73.0,51.0,55.0,61.0,71.0,73.0,70.0,81.0,66.0,85.0,60.0,76.0,71.0,46.0,58.0,48.0,48.0,53.0,61.0,47.0,34.0,48.0,46.0,5.0,9.0,10.0,11.0,14.0,55,Abdul-Yakinu Iddi,180316,172,146,28
899,900,157191,31012,2012-08-31 00:00:00,82.0,82.0,right,medium,medium,75.0,72.0,77.0,73.0,69.0,86.0,69.0,57.0,76.0,83.0,92.0,88.0,84.0,81.0,65.0,88.0,78.0,81.0,89.0,78.0,75.0,37.0,85.0,70.0,84.0,13.0,28.0,23.0,6.0,7.0,8.0,7.0,15.0,56,Abdulkader Keita,157191,182,172,31
907,908,210766,176301,2013-02-15 00:00:00,57.0,58.0,right,medium,low,47.0,60.0,37.0,62.0,42.0,67.0,53.0,39.0,58.0,64.0,78.0,76.0,69.0,51.0,69.0,57.0,56.0,67.0,80.0,40.0,47.0,33.0,40.0,50.0,48.0,37.0,33.0,42.0,12.0,14.0,7.0,13.0,14.0,57,Abdulla Fatadi,210766,175,172,28
910,911,207716,307227,2016-04-21 00:00:00,63.0,68.0,right,medium,high,36.0,34.0,62.0,41.0,40.0,38.0,33.0,34.0,43.0,49.0,64.0,66.0,65.0,58.0,54.0,42.0,70.0,72.0,70.0,39.0,80.0,65.0,30.0,42.0,44.0,61.0,63.0,57.0,16.0,12.0,8.0,11.0,7.0,58,Abdullah Al Hafith,207716,187,165,24
925,926,192670,176302,2010-08-30 00:00:00,62.0,66.0,right,le,ean,61.0,45.0,53.0,63.0,44.0,66.0,53.0,52.0,56.0,61.0,70.0,63.0,80.0,63.0,56.0,63.0,58.0,61.0,58.0,57.0,58.0,51.0,49.0,60.0,56.0,52.0,54.0,47.0,8.0,9.0,12.0,15.0,11.0,59,Abdullah Omar,192670,175,157,23
929,930,229026,525595,2016-04-21 00:00:00,71.0,76.0,right,medium,medium,70.0,36.0,59.0,76.0,40.0,65.0,51.0,47.0,74.0,70.0,75.0,75.0,66.0,76.0,65.0,62.0,75.0,82.0,69.0,48.0,68.0,70.0,73.0,67.0,51.0,59.0,68.0,72.0,9.0,16.0,14.0,11.0,15.0,60,Abdullahi Shehu,229026,180,159,23
935,936,177974,24385,2016-04-14 00:00:00,73.0,73.0,right,low,high,57.0,59.0,73.0,75.0,51.0,65.0,61.0,62.0,69.0,70.0,44.0,38.0,56.0,70.0,60.0,71.0,67.0,73.0,78.0,60.0,86.0,77.0,68.0,70.0,59.0,67.0,81.0,61.0,12.0,11.0,15.0,6.0,11.0,61,Abel Aguilar,177974,185,176,31
963,964,111085,29904,2015-01-09 00:00:00,70.0,70.0,right,medium,medium,63.0,58.0,42.0,79.0,55.0,64.0,80.0,78.0,82.0,75.0,40.0,34.0,42.0,72.0,55.0,82.0,48.0,64.0,63.0,78.0,62.0,71.0,67.0,77.0,67.0,54.0,62.0,49.0,14.0,11.0,12.0,7.0,7.0,62,Abel Gomez,111085,182,165,33
984,985,188484,105548,2016-04-21 00:00:00,73.0,76.0,left,medium,low,47.0,71.0,73.0,67.0,74.0,71.0,73.0,58.0,42.0,73.0,86.0,86.0,84.0,74.0,63.0,73.0,74.0,70.0,70.0,66.0,59.0,24.0,74.0,57.0,81.0,19.0,29.0,21.0,14.0,6.0,8.0,6.0,9.0,63,Abel Hernandez,188484,185,161,26
1008,1009,208005,172875,2016-05-05 00:00:00,69.0,71.0,right,medium,medium,68.0,70.0,67.0,60.0,54.0,69.0,65.0,40.0,51.0,65.0,66.0,76.0,68.0,67.0,61.0,75.0,80.0,75.0,75.0,74.0,66.0,12.0,67.0,60.0,69.0,14.0,17.0,20.0,7.0,9.0,8.0,13.0,8.0,64,Abel Issa Camara,208005,185,179,26
1022,1023,207541,302985,2015-03-13 00:00:00,61.0,70.0,right,medium,medium,58.0,54.0,42.0,56.0,54.0,75.0,63.0,66.0,54.0,61.0,75.0,70.0,72.0,42.0,58.0,66.0,55.0,49.0,42.0,48.0,26.0,28.0,52.0,52.0,61.0,22.0,30.0,31.0,14.0,11.0,14.0,12.0,12.0,65,Abel Khaled,207541,180,148,23
1030,1031,202153,240556,2016-03-24 00:00:00,68.0,71.0,right,high,medium,63.0,50.0,66.0,66.0,42.0,66.0,40.0,41.0,59.0,64.0,70.0,69.0,69.0,66.0,60.0,48.0,82.0,72.0,72.0,51.0,72.0,70.0,40.0,49.0,55.0,70.0,70.0,71.0,9.0,6.0,7.0,10.0,8.0,66,Abel Tamata,202153,182,170,26
1045,1046,17880,40938,2010-08-30 00:00:00,73.0,75.0,right,None,o,73.0,53.0,59.0,78.0,48.0,70.0,51.0,50.0,74.0,74.0,75.0,76.0,74.0,75.0,75.0,73.0,74.0,77.0,77.0,54.0,74.0,67.0,69.0,75.0,66.0,73.0,74.0,72.0,7.0,5.0,7.0,13.0,10.0,67,Abel,17880,177,165,32
1050,1051,159580,37422,2016-01-28 00:00:00,71.0,71.0,right,high,medium,82.0,46.0,52.0,61.0,49.0,62.0,59.0,59.0,62.0,66.0,70.0,71.0,69.0,75.0,43.0,67.0,71.0,88.0,80.0,58.0,80.0,75.0,55.0,61.0,46.0,65.0,70.0,69.0,13.0,9.0,12.0,19.0,12.0,68,Abella Perez Damia,159580,187,174,34
1075,1076,187175,114503,2016-06-09 00:00:00,67.0,67.0,right,medium,low,43.0,78.0,57.0,57.0,64.0,61.0,49.0,42.0,48.0,58.0,77.0,78.0,72.0,63.0,73.0,75.0,47.0,62.0,67.0,65.0,52.0,34.0,64.0,44.0,45.0,34.0,31.0,23.0,16.0,15.0,7.0,12.0,13.0,69,Abiola Dauda,187175,180,165,28
1091,1092,163423,27277,2015-09-21 00:00:00,75.0,75.0,right,medium,medium,69.0,65.0,77.0,74.0,75.0,79.0,63.0,58.0,72.0,80.0,73.0,77.0,74.0,74.0,56.0,84.0,65.0,73.0,83.0,70.0,77.0,72.0,75.0,77.0,74.0,69.0,74.0,73.0,13.0,7.0,13.0,9.0,12.0,70,Abou Diaby,163423,193,168,29
